p1	p2	estimate	stderr	z	p
BS	Type 2 diabetes	1.61524428494743	0.0813311390105798	19.8600966935593	9.01368962340371e-88
HbA1c	Type 2 diabetes	1.32835866475353	0.0501017719459306	26.5132072811135	6.82612625960446e-155
ALT	Type 2 diabetes	0.302014420580043	0.0812334998546075	3.71785557830934	0.000200921072163131
SBP	Type 2 diabetes	0.364879645438104	0.0933414524054837	3.90908472104156	9.26464710869141e-05
MAP	Type 2 diabetes	0.3236507029346	0.0874952033756189	3.69906795399012	0.000216392663263009
SBP	Ischemic stroke	1.05097941833161	0.200514032252409	5.2414257821549	1.59340565305659e-07
DBP	Ischemic stroke	1.50234128390878	0.244406537030004	6.14689485054299	7.90144706834767e-10
MAP	Ischemic stroke	1.1450088618658	0.185827063220096	6.1616905633903	7.19723889758799e-10
SBP	Cerebral aneurysm	1.8700415434732	0.216596450025755	8.63375897089187	5.93680293313571e-18
DBP	Cerebral aneurysm	1.81284315958913	0.262868084851167	6.89639885578178	5.33373089345503e-12
MAP	Cerebral aneurysm	1.63423837461096	0.200880396799262	8.13538006022581	4.10648014654682e-16
PP	Cerebral aneurysm	1.29195717129287	0.289925211384895	4.45617393920844	8.34353442614895e-06
BMI	Myocardial infarction	0.40679852574511	0.0882526569645913	4.60947624396539	4.0368465496604e-06
HDL-C	Myocardial infarction	-0.353100130253594	0.049121991654832	-7.18822910794702	6.56370571108875e-13
TG	Myocardial infarction	0.327464163843476	0.0621609210642693	5.26800694450626	1.37912891307365e-07
HbA1c	Myocardial infarction	0.360799532930036	0.0732944505387025	4.92260369343405	8.54002869205763e-07
HbA1c	Peripheral artery disease	0.742971416677427	0.12345403924945	6.01820257315507	1.76364402536917e-09
SBP	Peripheral artery disease	0.860525702478973	0.233358330154805	3.6875722495448	0.000226403821353069
PP	Peripheral artery disease	1.30057608800892	0.317392180304631	4.09769417368957	4.17286091763044e-05
Height	Atrial fibrillation	0.273363916683392	0.0438459166820983	6.23464936690452	4.52791116320671e-10
SBP	Atrial fibrillation	1.2536742284413	0.153402706622789	8.17243877921937	3.0221706832653e-16
MAP	Atrial fibrillation	1.12862792639554	0.143359585692318	7.87270639033394	3.4705047626778e-15
BMI	Asthma	0.328420403848073	0.0848264388962564	3.87167501219442	0.000108090006338612
DBP	Urolithiasis	0.593528630949599	0.174904140354825	3.39345100547944	0.000690179035115726
